,Date,Steps
0,2024-08-22,0
1,2024-08-23,0
2,2024-08-24,0
3,2024-08-25,0
4,2024-08-26,0
5,2024-08-27,0
6,2024-08-28,0
7,2024-08-29,0
8,2024-08-30,0
9,2024-08-31,0
10,2024-09-01,0
11,2024-09-02,0
12,2024-09-03,0
13,2024-09-04,0
14,2024-09-05,0
15,2024-09-06,0
16,2024-09-07,0
17,2024-09-08,0
18,2024-09-09,1607
19,2024-09-10,8948
20,2024-09-11,8367
21,2024-09-12,5970
22,2024-09-13,3492
23,2024-09-14,10609
24,2024-09-15,2658
25,2024-09-16,6137
26,2024-09-17,9726
27,2024-09-18,6738
28,2024-09-19,5140
29,2024-09-20,5480
